query,corrected_query
bobby brown,bobbi brown
boutique,biotique
colourbar,colorbar
councelar,concealer
councillor,concealer
de tan face mask,d tan face mask
earings,earrings
eyeshadow palett,eyeshadow palette
face counter,face contour
fake nails,false nails
faundesan,foundation
faundeshan,foundation
glisarin,glycerin
hailighter,highlighter
hair staightner,hair straightener
heighliter,highlighter
hylighter,highlighter
imminsfree,innisfree
jooves,jovees
jwalery,jewellery
jwelaary set,jewellery set
jwelarey set,jewellery set
kajol,kajal
kehils,kiehls
keilhs,kiehls
kheils,kiehls
khiels,kiehls
loreal paris,l'oreal paris
lose powder,loose powder
lufah,loofah
mabylenee,maybelline
makeup forever foundation,make up for ever foundation
maybellin fit me foundat,maybelline fit me foundation
mc caffeine,mcaffeine
mcaffine,mcaffeine
meybline,maybelline
moisuriser,Moisturizer
nail pant,nail paint
nevia,nivea
nuetrigina,neutrogena
nutregina,neutrogena
nutrigina,neutrogena
nyka,nykaa
shwazcroff,schwarzkopf
sulphate and paraben free shampoo,sulfate and paraben free shampoo
sulphate free shampoo,sulfate free shampoo
swarzkoff,schwarzkopf
vela shampoo,wella shampoo
vesellin,vaseline
mc caffeine,mcaffeine
mc caffeine face serum,mcaffeine face serum
mac caffeine coffee mask,mcaffeine coffee mask
mac caffeine,mcaffeine
councillor,concealer
de tan face mask,d tan face mask
earings,earrings
eyeshadow palett,eyeshadow palette
face counter,face contour
fake nails,false nails
faundesan,foundation
faundeshan,foundation
glisarin,glycerin
hailighter,highlighter
hair staightner,hair straightener
heighliter,highlighter
hylighter,highlighter
imminsfree,innisfree
jooves,jovees
jwalery,jewellery
jwelaary set,jewellery set
jwelarey set,jewellery set
kajol,kajal
kehils,kiehls
keilhs,kiehls
kheils,kiehls
khiels,kiehls
loreal paris,l'oreal paris
lose powder,loose powder
lufah,loofah
mabylenee,maybelline
makeup forever foundation,make up for ever foundation
maybellin fit me foundat,maybelline fit me foundation
mc caffeine,mcaffeine
mcaffine,mcaffeine
meybline,maybelline
moisuriser,Moisturizer
nail pant,nail paint
nevia,nivea
nuetrigina,neutrogena
nutregina,neutrogena
nutrigina,neutrogena
nyka,nykaa
shwazcroff,schwarzkopf
sulphate and paraben free shampoo,sulfate and paraben free shampoo
sulphate free shampoo,sulfate free shampoo
swarzkoff,schwarzkopf
vela shampoo,wella shampoo
vesellin,vaseline
mc caffeine,mcaffeine
mc caffeine face serum,mcaffeine face serum
mac caffeine coffee mask,mcaffeine coffee mask
mac caffeine,mcaffeine
