ID accountsummary            | Name: Report Suite Totals 
ID activity                  | Name: Activity 
ID amo_cid                   | Name: AMO ID 
ID amo_ef_id                 | Name: AMO EF ID 
ID browser                   | Name: Browser 
ID browserheight             | Name: Browser Height 
ID browsertype               | Name: Browser Type 
ID browserwidth              | Name: Browser Width 
ID category                  | Name: Category 
ID clickmaplink              | Name: Activity Map Link 
ID clickmaplinkbyregion      | Name: Activity Map Link By Region 
ID clickmappage              | Name: Activity Map Page 
ID clickmapregion            | Name: Activity Map Region 
ID clickmapxy                | Name: Activity Map XY 
ID connectiontype            | Name: Connection Type 
ID cookiesenabled            | Name: Cookies Enabled 
ID customerloyalty           | Name: Customer Loyalty 
ID domain                    | Name: Domain 
ID entrypage                 | Name: Entry Page 
ID entrypageoriginal         | Name: Original Entry Page 
ID evar1                     | Name: Page Name 
ID evar10                    | Name: Subsection Level-3 
ID evar100                   | Name: Marketing Cloud Visitor ID 
ID evar11                    | Name: Search Location 
ID evar12                    | Name: Product Finding Method 
ID evar13                    | Name: Product Type 
ID evar14                    | Name: Pincode 
ID evar15                    | Name: Add-to-Cart Location 
ID evar16                    | Name: Payment Method 
ID evar17                    | Name: Voucher Code 
ID evar18                    | Name: Order ID 
ID evar19                    | Name: Transaction Status 
ID evar2                     | Name: Previous Page Name 
ID evar20                    | Name: Error Type 
ID evar21                    | Name: Sort Type 
ID evar22                    | Name: Internal Campaign Tracking Code 
ID evar23                    | Name: Customer ID 
ID evar24                    | Name: Logged In/Not Logged In 
ID evar25                    | Name: Login Location 
ID evar26                    | Name: Logout Location 
ID evar27                    | Name: Query Type 
ID evar28                    | Name: Gift Card Occasion 
ID evar3                     | Name: Page URL 
ID evar4                     | Name: Time Parting 
ID evar40                    | Name: Email tracking 
ID evar41                    | Name: Site Navigation Sections 
ID evar42                    | Name: Site Navigation Sub Sections 
ID evar43                    | Name: Coupon Code (eVar43) 
ID evar5                     | Name: New/Repeat 
ID evar57                    | Name: utm_source/utm_medium 
ID evar6                     | Name: Internal Search Term (Conversion) 
ID evar7                     | Name: Number of Search Results 
ID evar8                     | Name: Subsection Level-1 
ID evar9                     | Name: Subsection Level-2 
ID evar91                    | Name: PageType 
ID evar92                    | Name: eVar 92 (Page URL Merchandising) 
ID evar93                    | Name: eVar 93 (Previous Page URL) 
ID evar94                    | Name: eVar 94 
ID evar95                    | Name: optimizely 
ID evar96                    | Name: User Device 
ID evar97                    | Name: Interaction Page URL 
ID evar98                    | Name: Interaction Page Name 
ID evar99                    | Name: Browser and Version (Page Load Time) 
ID experience                | Name: Experience 
ID firsttouchchannel         | Name: First Touch Marketing Channel 
ID firsttouchchanneldetail   | Name: First Touch Marketing Channel Detail 
ID geocity                   | Name: GeoSegmentation City 
ID geocountry                | Name: GeoSegmentation Country 
ID geodma                    | Name: GeoSegmentation U.S. DMA 
ID georegion                 | Name: GeoSegmentation Region 
ID geostate                  | Name: GeoSegmentation State 
ID javaenabled               | Name: Java Enabled 
ID javascriptenabled         | Name: JavaScript Enabled 
ID javascriptversion         | Name: JavaScript Version 
ID language                  | Name: Language 
ID lasttouchchannel          | Name: Last Touch Marketing Channel 
ID lasttouchchanneldetail    | Name: Last Touch Marketing Channel Detail 
ID linkcustom                | Name: Custom Link 
ID linkdownload              | Name: File Download 
ID linkexit                  | Name: Exit Link 
ID listvar1                  | Name: Filter Used 
ID mobileaudiosupport        | Name: Audio Support 
ID mobilecarrier             | Name: Mobile Carrier 
ID mobilecolordepth          | Name: Color Depth 
ID mobilecookiesupport       | Name: Cookie Support 
ID mobiledeviceid            | Name: Mobile Device ID 
ID mobiledevicename          | Name: Devices 
ID mobiledevicenumbertransmit | Name: Device Number Transmit (ON/OFF) 
ID mobiledevicetype          | Name: Device Type 
ID mobiledrm                 | Name: DRM 
ID mobileimagesupport        | Name: Image Support 
ID mobileinformationservices | Name: Information Services 
ID mobilejavavm              | Name: Java Version 
ID mobilemaildecoration      | Name: Decoration Mail Support 
ID mobilemanufacturer        | Name: Manufacturers 
ID mobilemaxbookmarkurllength | Name: Bookmark URL Length 
ID mobilemaxbrowserurllength | Name: Browser URL Length 
ID mobilemaxmailurllength    | Name: Mail URL Length 
ID mobilenetprotocols        | Name: Net Protocols 
ID mobileos                  | Name: Operating System (deprecated) 
ID mobilepushtotalk          | Name: PTT 
ID mobilescreenheight        | Name: Screen Height 
ID mobilescreensize          | Name: Screen Sizes 
ID mobilescreenwidth         | Name: Screen Width 
ID mobilevideosupport        | Name: Video Support 
ID monitorcolordepth         | Name: Monitor Color Depth 
ID monitorresolution         | Name: Monitor Resolution 
ID operatingsystem           | Name: Operating System 
ID operatingsystemtype       | Name: Operating System Type 
ID page                      | Name: Page 
ID pagedepth                 | Name: Page Depth 
ID pagesnotfound             | Name: Pages Not Found 
ID pathlength                | Name: Path Length 
ID product                   | Name: Product 
ID prop1                     | Name: Page Name 
ID prop10                    | Name: Subsection Level 3 
ID prop11                    | Name: Customer ID 
ID prop2                     | Name: Previous Page Name 
ID prop3                     | Name: Page URL 
ID prop4                     | Name: Time Parting 
ID prop5                     | Name: New/Repeat 
ID prop6                     | Name: Internal Search Term (Traffic) 
ID prop7                     | Name: Number of Search Results 
ID prop75                    | Name: Optimizely 
ID prop8                     | Name: Subsection Level 1 
ID prop9                     | Name: Subsection Level 2 
ID referrer                  | Name: Referrer 
ID referrertype              | Name: Referrer Type 
ID referringdomain           | Name: Referring Domain 
ID referringdomainoriginal   | Name: Original Referring Domain 
ID reportsuite               | Name: Report Suite 
ID returnfrequency           | Name: Return Frequency 
ID searchengine              | Name: Search Engine 
ID searchenginekeyword       | Name: Search Keyword 
ID searchenginenatural       | Name: Natural Search Engine 
ID searchenginenaturalkeyword | Name: Natural Search Keyword 
ID searchenginenaturalpagerank | Name: Natural Search Page Rank 
ID searchenginepaid          | Name: Paid Search Engine 
ID searchenginepaidkeyword   | Name: Paid Search Keyword 
ID server                    | Name: Server 
ID sitesection               | Name: Site Section 
ID state                     | Name: State 
ID surveybase                | Name: Survey 
ID timeprior                 | Name: Time Prior to Event 
