ID accountsummary            | Name: Report Suite Totals 
ID activity                  | Name: Activity 
ID browser                   | Name: Browser 
ID browserheight             | Name: Browser Height 
ID browsertype               | Name: Browser Type 
ID browserwidth              | Name: Browser Width 
ID category                  | Name: Category 
ID connectiontype            | Name: Connection Type 
ID cookiesenabled            | Name: Cookies Enabled 
ID customerloyalty           | Name: Customer Loyalty 
ID domain                    | Name: Domain 
ID entrypage                 | Name: Entry Page 
ID entrypageoriginal         | Name: Original Entry Page 
ID evar1                     | Name: Screen Name 
ID evar10                    | Name: Subsection Level 3 
ID evar100                   | Name: Marketing Cloud Visitor ID 
ID evar13                    | Name: Product Type 
ID evar15                    | Name: Add-to-Cart Location 
ID evar16                    | Name: Payment Method 
ID evar18                    | Name: Order ID 
ID evar19                    | Name: Transaction Status 
ID evar2                     | Name: eVar 2 
ID evar22                    | Name: Internal Campaign Tracking Code 
ID evar23                    | Name: Customer ID 
ID evar24                    | Name: Logged In/Not Logged In 
ID evar26                    | Name: Logout Location 
ID evar3                     | Name: eVar 3 
ID evar34                    | Name: Add-to-Wishlist Location 
ID evar35                    | Name: Product Stock Status 
ID evar36                    | Name: Search Type 
ID evar37                    | Name: Product View Location 
ID evar38                    | Name: Removed-from-Wishlist Location 
ID evar39                    | Name: Login Type 
ID evar4                     | Name: eVar 4 
ID evar41                    | Name: site navigation 
ID evar42                    | Name: Site Sub navigation 
ID evar44                    | Name: Server Error API 
ID evar45                    | Name: Deeplink 
ID evar46                    | Name: Push Notification 
ID evar47                    | Name: Extra Cart details 
ID evar48                    | Name: brand Filters 
ID evar49                    | Name: Category Filters 
ID evar5                     | Name: eVar 5 
ID evar50                    | Name: Price Filters 
ID evar51                    | Name: Other Filters 
ID evar52                    | Name: Banners 
ID evar6                     | Name: Internal Search Term (Conversion) 
ID evar8                     | Name: Subsection Level 1 
ID evar9                     | Name: Subsection Level 2 
ID evar97                    | Name: Custom Link Name 
ID evar99                    | Name: Interaction Page Name 
ID experience                | Name: Experience 
ID firsttouchchannel         | Name: First Touch Marketing Channel 
