Brands,Similar_brands,Dominant_category
Nars,3899|4985|997|12808|5108,228
The Ordinary,3814|997|2371,8397|9579
Pamper,,60
cerave,,8393
aegte,,
Amway,,
anastasia,,
annefrench,,
ayur,,
biore,,
boroline,,
Boroplus,,
burts bees,,
caudalie,,
chanel,,
cosrx,,
dermacol,,
dermadew,,
devacurl,,
Dior,,
zilch,,
elf,,
ennscloset,,
Essie,,
eucerin,,
europe girl,,
fa,,
farsali,,
fenty beauty,,
figaro,,
foreo,,
gigi hadid,,
gk,,
good vibes,,
Gucci,,
hourglass,,
jac olivol,,
keo karpin,,
kerastase,2421|2682|2734|6519|6960|8457|8702|6640|2371|1572|984|6005|1251|998,
kiss beauty,,
kryolan,,
kylie,,
miss rose,,
modicare,,
Morphe,,
Mouse,,
Murad,,
ny bae,,
odonil,,
pac cosmetics,,
parampara,,
reequil,,
sephora,,
sivanna,,
skinkraft,,
stay quirky,,
sugarbearhair,,
tarte,,
too faced,,
urban decay,,
uroparis,,
victoria secret,,
white tone,,
wishtrend,,
zara,,
hilary rhoda,,
keya seth,,
ethiglo,,
hyalugel,,
Vichy,,
fabindia,,
neutriderm,,
nugg beauty,,
