ID activityconversions       | Name: Activity Conversions 
ID activityimpressions       | Name: Activity Impressions 
ID averagepagedepth          | Name: Average Page Depth 
ID averagetimespentonpage    | Name: Average Time Spent on Page 
ID averagetimespentonsite    | Name: Average Time Spent on Site 
ID averagevisitdepth         | Name: Average Visit Depth 
ID bots                      | Name: Bots 
ID bouncerate                | Name: Bounce Rate 
ID bounces                   | Name: Bounces 
ID cartadditions             | Name: Cart Additions 
ID cartremovals              | Name: Cart Removals 
ID carts                     | Name: Carts 
ID cartviews                 | Name: Cart Views 
ID checkouts                 | Name: Checkouts 
ID customersdaily            | Name: Daily Unique Customers 
ID customersloyal            | Name: Loyal Customers 
ID customersmonthly          | Name: Monthly Unique Customers 
ID customersnew              | Name: New Customers 
ID customersquarterly        | Name: Quarterly Unique Customers 
ID customersreturn           | Name: Return Customers 
ID customersweekly           | Name: Weekly Unique Customers 
ID customersyearly           | Name: Yearly Unique Customers 
ID entries                   | Name: Entries 
ID event10                   | Name: Product Discount Amount 
ID event11                   | Name: Tax Amount 
ID event12                   | Name: Voucher Discount Amount 
ID event13                   | Name: Points Used 
ID event14                   | Name: Points Discount Amount 
ID event15                   | Name: Cash On Delivery Charges 
ID event16                   | Name: Add to wishlist 
ID event25                   | Name: Internal Campaign Clickthrough 
ID event26                   | Name: Successful Login 
ID event27                   | Name: Successful Logout 
ID event28                   | Name: Registration Start 
ID event29                   | Name: Registration Complete 
ID event3                    | Name: Internal Searches 
ID event32                   | Name: Brand Page View 
ID event35                   | Name: Lifetime Value 
ID event36                   | Name: Custom Link Click 
ID event37                   | Name: Checkout Step 3: Select Payment 
ID event38                   | Name: Checkout Step 4 : Payment 
ID event40                   | Name: Add-to-Bag Button Click 
ID event41                   | Name: Total Order Value 
ID event5                    | Name: Custom Product View 
ID event55                   | Name: Products Shared 
ID event56                   | Name: Transaction Cancelled 
ID event57                   | Name: Profile Picture Updated 
ID event58                   | Name: Profile Picture Removed 
ID event59                   | Name: Product Quantity Updated 
ID event6                    | Name: Cart Value 
ID event60                   | Name: Sort Product Review 
ID event61                   | Name: Review Posted 
ID event62                   | Name: Try It On Clicks 
ID event63                   | Name: Gift Card Used 
ID event64                   | Name: Gift Card Value 
ID event65                   | Name: Has try it on 
ID event66                   | Name: No search results 
ID event67                   | Name: Server Error 
ID event8                    | Name: Checkout Step 2 : Shipping 
ID event9                    | Name: Shipping Charges 
ID exits                     | Name: Exits 
ID experienceconfidence      | Name: Experience Confidence 
ID experiencelift            | Name: Experience Lift 
ID instances                 | Name: Instances 
ID mobileactioninapptime     | Name: Action Time In App 
ID mobileactiontotaltime     | Name: Action Time Total 
ID mobileavgprevsessionlength | Name: Average Session Length (Mobile) 
ID mobilecrashes             | Name: Crashes 
ID mobilecrashrate           | Name: Crash Rate (Mobile) 
ID mobileinstalls            | Name: First Launches 
ID mobilelaunches            | Name: Launches 
ID mobileltvtotal            | Name: Lifetime Value (event) 
ID mobileprevsessionlength   | Name: Total Session Length 
ID mobileupgrades            | Name: Upgrades 
ID mobileviews               | Name: Mobile Views 
ID mobilevisitorsdaily       | Name: Mobile Daily Unique Visitors 
ID mobilevisits              | Name: Mobile Visits 
ID orders                    | Name: Orders 
ID pageviews                 | Name: Page Views 
ID participationcartadditions | Name: Cart Additions Participation 
ID participationcartremovals | Name: Cart Removals Participation 
ID participationcarts        | Name: Carts Participation 
ID participationcartviews    | Name: Cart Views Participation 
ID participationcheckouts    | Name: Checkouts Participation 
ID participationevent10      | Name: Product Discount Amount Participation 
ID participationevent11      | Name: Tax Amount Participation 
ID participationevent12      | Name: Voucher Discount Amount Participation 
ID participationevent13      | Name: Points Used Participation 
ID participationevent14      | Name: Points Discount Amount Participation 
ID participationevent15      | Name: Cash On Delivery Charges Participation 
ID participationevent16      | Name: Add to wishlist Participation 
ID participationevent25      | Name: Internal Campaign Clickthrough Participation 
ID participationevent26      | Name: Successful Login Participation 
ID participationevent27      | Name: Successful Logout Participation 
ID participationevent28      | Name: Registration Start Participation 
ID participationevent29      | Name: Registration Complete Participation 
ID participationevent3       | Name: Internal Searches Participation 
ID participationevent32      | Name: Brand Page View Participation 
ID participationevent35      | Name: Lifetime Value Participation 
ID participationevent36      | Name: Custom Link Click Participation 
ID participationevent37      | Name: Checkout Step 3: Select Payment Participation 
ID participationevent38      | Name: Checkout Step 4 : Payment Participation 
ID participationevent40      | Name: Add-to-Bag Button Click Participation 
ID participationevent41      | Name: Total Order Value Participation 
ID participationevent5       | Name: Custom Product View Participation 
ID participationevent55      | Name: Products Shared Participation 
