keyword	filter_name	filter_value	freq	keyword_type
amante	category	13791	5	keyword
amante	category	3082	35	keyword
amante	category	3073	5	keyword
amante	color	25190	10	keyword
amante	category	3102	20	keyword
amante	fabric	64604	8	keyword
amante	category	3062	29	keyword
amante	color	16777	4	keyword
amante	category	6045	26	keyword
amante	category	3112	5	keyword
amante	color	25188	5	keyword
amante	category	3084	12	keyword
amante	pattern	96362	5	keyword
amante	category	3068	14	keyword
amante	category	3086	23	keyword
amante	fabric	64599	23	keyword
amante	category	3103	16	keyword
amante	category	3104	29	keyword
amante	category	6043	16	keyword
amante	category	11313	10	keyword
amante	category	3069	19	keyword
amante	category	3116	5	keyword
amante	category	4761	8	keyword
amante	padding	64592	44	keyword
amante	category	3061	38	keyword
amante	category	5635	17	keyword
amante	category	3066	19	keyword
amante	padding	64590	43	keyword
amante	color	10801	10	keyword
amante	color	25802	26	keyword
amante	category	3087	55	keyword
amante	category	4521	9	keyword
amante	category	3105	15	keyword
amante	wiring	64587	44	keyword
amante	category	3060	68	keyword
amante	wiring	64588	40	keyword
amante	padding	64591	36	keyword
amante	color	25191	8	keyword
amante	color	13529	7	keyword
amante	color	15515	4	keyword
amante	category	3091	9	keyword
amante	pattern	67293	9	keyword
amante	category	3090	13	keyword
amante	category	3081	15	keyword
amante	category	4313	32	keyword
amante	category	3080	48	keyword
amante	category	4796	17	keyword
amante	category	3100	40	keyword
amante	category	3111	6	keyword
amante	rise	67326	3	keyword
amante	category	3098	19	keyword
amante	color	25192	4	keyword
amante	color	15514	10	keyword
amante	category	4997	3	keyword
amante	category	3092	3	keyword
amante	category	7115	32	keyword
amante	category	3070	62	keyword
amante	category	3065	45	keyword
amante	rise	67327	7	keyword
amante	pattern	67292	4	keyword
amante	category	3067	87	keyword
amante	category	3094	6	keyword
amante	fabric	97401	6	keyword
amante	category	3109	4	keyword
amante	color	13370	3	keyword
amante	color	10789	3	keyword
amante	category	3110	3	keyword
amante	category	3075	7	keyword
amante	category	3083	76	keyword
amante	category	4518	24	keyword
amante	coverage	10874	28	keyword
amante	category	3108	25	keyword
amante	category	3064	59	keyword
amante	category	6046	32	keyword
amante	category	3089	12	keyword
amante	category	3071	12	keyword
amante	category	3101	16	keyword
amante	category	3093	4	keyword
amante	category	5452	57	keyword
amante	coverage	10876	4	keyword
amante	category	3107	12	keyword
amante	category	3099	33	keyword
amante	color	11882	4	keyword
amante	fabric	64600	11	keyword
anklets	color	15514	8	keyword
anklets	color	25191	12	keyword
anklets	color	25190	4	keyword
anklets	color	10801	78	keyword
anklets	color	10789	8	keyword
anklets	color	13370	28	keyword
anklets	color	16775	50	keyword
anklets	color	15515	5	keyword
anklets	color	13750	4	keyword
aroma magic	category	8442	9	keyword
aroma magic	category	8441	7	keyword
aroma magic	category	1389	3	keyword
aroma magic	category	8444	5	keyword
aroma magic	category	2046	10	keyword
aroma magic	skin_type	10780	19	keyword
aroma magic	category	367	7	keyword
aroma magic	category	2746	3	keyword
aroma magic	category	259	6	keyword
aroma magic	category	1392	5	keyword
aroma magic	preference	10866	4	keyword
aroma magic	category	9573	5	keyword
aroma magic	preference	10862	8	keyword
aroma magic	preference	10845	5	keyword
aroma magic	concern	10749	10	keyword
aroma magic	category	8432	11	keyword
aroma magic	formulation	10817	12	keyword
aroma magic	category	8381	73	keyword
aroma magic	category	381	3	keyword
aroma magic	preference	10849	5	keyword
aroma magic	preference	10868	4	keyword
aroma magic	concern	10750	12	keyword
aroma magic	category	382	5	keyword
aroma magic	formulation	10808	5	keyword
aroma magic	concern	10777	33	keyword
aroma magic	concern	10737	8	keyword
aroma magic	category	320	67	keyword
aroma magic	category	8421	10	keyword
aroma magic	category	2041	58	keyword
aroma magic	category	9568	5	keyword
aroma magic	formulation	10827	7	keyword
aroma magic	formulation	10820	5	keyword
aroma magic	preference	10847	5	keyword
aroma magic	category	9617	33	keyword
aroma magic	concern	10776	11	keyword
aroma magic	preference	10839	3	keyword
aroma magic	category	8403	23	keyword
aroma magic	category	9616	7	keyword
aroma magic	category	1222	7	keyword
aroma magic	category	8426	35	keyword
aroma magic	preference	10853	3	keyword
aroma magic	category	8404	23	keyword
aroma magic	concern	10753	22	keyword
aroma magic	category	8451	3	keyword
aroma magic	skin_type	10779	100	keyword
aroma magic	preference	15812	3	keyword
aroma magic	category	8394	249	keyword
aroma magic	category	9615	4	keyword
aroma magic	category	371	24	keyword
aroma magic	category	8433	6	keyword
aroma magic	category	9569	7	keyword
aroma magic	spf	10873	4	keyword
aroma magic	category	8400	136	keyword
aroma magic	category	8396	71	keyword
aroma magic	category	319	112	keyword
aroma magic	category	8430	74	keyword
aroma magic	skin_type	10781	63	keyword
aroma magic	category	8405	14	keyword
aroma magic	category	8397	80	keyword
aroma magic	preference	10858	4	keyword
aroma magic	hair_type	11078	4	keyword
aroma magic	category	8392	99	keyword
aroma magic	category	8395	57	keyword
aroma magic	category	1387	31	keyword
aroma magic	category	9601	4	keyword
aroma magic	concern	10770	15	keyword
aroma magic	concern	91637	4	keyword
aroma magic	category	9581	3	keyword
aroma magic	preference	10869	14	keyword
aroma magic	formulation	10824	7	keyword
aroma magic	category	1214	13	keyword
aroma magic	category	1388	20	keyword
aroma magic	category	8437	29	keyword
aroma magic	preference	10841	4	keyword
aroma magic	preference	10857	7	keyword
aroma magic	skin_type	10778	40	keyword
aroma magic	concern	10729	12	keyword
aroma magic	category	1302	4	keyword
aroma magic	preference	10867	3	keyword
aroma magic	formulation	10809	4	keyword
aroma magic	preference	10851	12	keyword
aroma magic	concern	10751	13	keyword
aroma magic	category	8383	20	keyword
aroma magic	skin_type	10782	51	keyword
aroma magic	category	8436	46	keyword
aroma magic	category	8420	46	keyword
aroma magic	concern	10771	14	keyword
aroma magic	category	2040	94	keyword
aroma magic	category	8379	196	keyword
aroma magic	category	8446	4	keyword
aroma magic	preference	10844	4	keyword
aroma magic	category	316	180	keyword
aroma magic	hair_type	11071	3	keyword
aroma magic	category	8449	4	keyword
aroma magic	preference	10864	3	keyword
aroma magic	category	8443	4	keyword
aroma magic	preference	10861	3	keyword
aroma magic	category	368	41	keyword
aroma magic	preference	10843	7	keyword
aroma magic	hair_type	11077	3	keyword
aroma magic	category	9582	3	keyword
aroma magic	category	8380	85	keyword
aveda	hair_type	11079	20	keyword
aveda	concern	10750	14	keyword
aveda	hair_type	11077	16	keyword
aveda	category	8420	50	keyword
aveda	hair_type	91639	14	keyword
aveda	category	2746	3	keyword
aveda	hair_type	11072	9	keyword
aveda	category	11799	3	keyword
aveda	category	9615	3	keyword
aveda	hair_type	11078	27	keyword
aveda	category	2040	59	keyword
aveda	category	1214	30	keyword
aveda	category	346	17	keyword
aveda	category	332	27	keyword
aveda	preference	10843	19	keyword
aveda	category	320	85	keyword
aveda	concern	10764	11	keyword
aveda	concern	10734	3	keyword
aveda	concern	91637	78	keyword
aveda	concern	10751	20	keyword
aveda	preference	10845	11	keyword
aveda	category	2041	91	keyword
aveda	category	9600	4	keyword
aveda	hair_type	11075	5	keyword
aveda	concern	10737	10	keyword
aveda	hair_type	11076	12	keyword
aveda	category	331	17	keyword
aveda	category	316	146	keyword
aveda	category	319	79	keyword
aveda	category	8452	12	keyword
aveda	preference	10858	3	keyword
aveda	category	9598	4	keyword
aveda	hair_type	11071	21	keyword
aveda	category	8426	34	keyword
aveda	preference	10847	3	keyword
aveda	category	8421	21	keyword
aveda	hair_type	11074	25	keyword
aveda	category	1392	3	keyword
aveda	concern	10755	21	keyword
aveda	concern	91638	46	keyword
aveda	preference	10851	8	keyword
aveda	category	9599	4	keyword
aveda	formulation	10808	3	keyword
aveda	category	8437	15	keyword
aveda	preference	10853	4	keyword
aveda	preference	12175	8	keyword
aveda	category	329	5	keyword
aveda	concern	10715	9	keyword
aveda	category	1222	6	keyword
aveda	category	2048	6	keyword
aveda	category	8432	17	keyword
aveda	concern	10732	10	keyword
aveda	preference	64746	6	keyword
aveda	preference	80225	6	keyword
aveda	hair_type	11073	6	keyword
aveda	category	2046	15	keyword
aveeno	category	8449	3	keyword
aveeno	category	8420	7	keyword
aveeno	skin_type	10781	8	keyword
aveeno	category	1676	12	keyword
aveeno	category	1388	3	keyword
aveeno	category	8426	3	keyword
aveeno	skin_type	10778	10	keyword
aveeno	category	2057	16	keyword
aveeno	category	8452	3	keyword
aveeno	category	8394	33	keyword
aveeno	category	368	5	keyword
aveeno	skin_type	10780	5	keyword
aveeno	category	371	7	keyword
avene	category	8395	37	keyword
avene	preference	10865	3	keyword
avene	skin_type	10779	59	keyword
avene	preference	10856	11	keyword
avene	concern	10749	7	keyword
avene	category	8409	7	keyword
avene	category	8380	75	keyword
avene	concern	10737	17	keyword
avene	concern	10777	56	keyword
avene	category	8392	25	keyword
avene	category	8400	12	keyword
avene	concern	10771	12	keyword
avene	category	239	4	keyword
avene	category	8430	6	keyword
avene	preference	10851	7	keyword
avene	category	8441	5	keyword
avene	skin_type	10778	30	keyword
avene	skin_type	10782	32	keyword
avene	category	8397	38	keyword
avene	category	1388	3	keyword
avene	category	8405	13	keyword
avene	preference	10844	3	keyword
avene	category	1387	12	keyword
avene	preference	10862	14	keyword
avene	category	8449	5	keyword
avene	category	8383	8	keyword
avene	preference	10869	6	keyword
avene	concern	10776	9	keyword
avene	category	8444	3	keyword
avene	skin_type	10780	7	keyword
avene	preference	10841	3	keyword
avene	category	8420	4	keyword
avene	concern	10753	25	keyword
avene	preference	10859	4	keyword
avene	category	8394	95	keyword
avene	category	8407	6	keyword
avene	category	8429	43	keyword
avene	formulation	10824	3	keyword
avene	category	8442	8	keyword
avene	category	8403	19	keyword
avene	skin_type	10781	16	keyword
avene	preference	10843	3	keyword
avene	preference	10845	4	keyword
avene	concern	10750	4	keyword
avene	preference	10863	4	keyword
avene	category	8398	3	keyword
avene	spf	10870	5	keyword
avene	category	8404	15	keyword
babydoll nightwear	pattern	96360	4	keyword
babydoll nightwear	fabric	86582	7	keyword
babydoll nightwear	pattern	96362	4	keyword
babydoll nightwear	fabric	64605	5	keyword
babydoll nightwear	color	13529	5	keyword
babydoll nightwear	pattern	67293	5	keyword
babydoll nightwear	color	25188	3	keyword
babydoll nightwear	fabric	64604	3	keyword
babydoll nightwear	color	13750	3	keyword
babydoll nightwear	color	25190	13	keyword
babydoll nightwear	fabric	97403	3	keyword
babydoll nightwear	color	15514	9	keyword
babydoll nightwear	fabric	97400	7	keyword
babydoll nightwear	color	10789	3	keyword
babydoll nightwear	pattern	96358	4	keyword
babydoll nightwear	fabric	64600	11	keyword
babydoll nightwear	color	10801	19	keyword
babydoll nightwear	fabric	95642	3	keyword
babydoll nightwear	fabric	64598	9	keyword
babydoll nightwear	fabric	64603	4	keyword
babydoll nightwear	fabric	64599	15	keyword
babydoll nightwear	fabric	86572	3	keyword
bangles	color	25190	22	keyword
bangles	color	25802	4	keyword
bangles	color	25191	5	keyword
bangles	color	15515	7	keyword
bangles	color	13370	31	keyword
bangles	color	25188	11	keyword
bangles	color	10801	5	keyword
bangles	color	15514	4	keyword
bangles	color	10789	9	keyword
bangles	color	16775	16	keyword
bath scrubs	skin_type	10781	47	keyword
bath scrubs	concern	10753	39	keyword
bath scrubs	preference	10857	11	keyword
bath scrubs	skin_type	10778	28	keyword
bath scrubs	preference	10853	10	keyword
